player_name,team_name,position,partidos_historial,promedio_winning,promedio_ponderado
Matías Morello,Aldosivi,DEF,4,4.997,5.071
Damián Martínez,Barracas Central,DEF,14,4.959,5.036
Rodrigo Guth,CA Talleres,DEF,2,4.82,4.995
Guzmán Corujo,San Lorenzo,DEF,6,4.979,4.982
Miguel Barbieri,Deportivo Riestra,DEF,9,5.226,4.91
Ramón Arias,Tigre,DEF,7,4.543,4.769
Alex Vigo,CA Talleres,DEF,9,5.202,4.711
Elías Pereyra,Barracas Central,DEF,7,3.993,4.67
Carlos Quintana,Rosario Central,DEF,7,4.355,4.644
Paulo Díaz,River Plate,DEF,5,5.44,4.477
Gonzalo Errecalde,Gimnasia y Esgrima,DEF,4,4.342,4.457
Nicolás Morgantini,CA Lanús,DEF,4,4.439,4.322
Bruno Pittón,Club Atlético Unión de Santa Fe,DEF,16,4.155,4.302
Leonardo Marchi,Central Córdoba,DEF,7,4.124,4.264
Iván Erquiaga,Instituto De Córdoba,DEF,2,3.5,4.187
Gastón Arturia,Sarmiento,DEF,11,4.33,4.078
Álvaro Ocampo,Club Atlético Belgrano,DEF,9,4.372,4.078
Elías Pereyra,Defensa y Justicia,DEF,11,3.756,4.052
Fabricio López,San Lorenzo,DEF,6,4.807,3.981
Leandro Lescano,Huracán,DEF,8,3.678,3.93
Darío Cáceres,Defensa y Justicia,DEF,8,4.053,3.889
Luca Raffin,Rosario Central,DEF,8,4.139,3.844
Facundo Sánchez,CA Lanús,DEF,4,3.904,3.82
Emiliano Álvarez,Club Atlético Unión de Santa Fe,DEF,4,2.836,3.747
Matías Melluso,Gimnasia y Esgrima,DEF,5,3.24,3.742
Mateo Vales,Aldosivi,DEF,4,4.11,3.74
Ulises Giménez,River Plate,DEF,1,3.688,3.688
Agustín Bravo,Instituto De Córdoba,DEF,2,4.289,3.663
Celías Ingenthron,Club Atlético Platense,DEF,5,4.135,3.319
Hernán de la Fuente,Instituto De Córdoba,DEF,3,3.061,2.827
Leonardo Rios,Rosario Central,DEF,1,2.477,2.477
Nicolás Freire,CA Independiente,DEF,2,2.785,2.427
Emanuel Iñíguez,Aldosivi,DEF,2,2.323,2.374
Diego Mastrangelo,Gimnasia y Esgrima,DEF,5,2.671,2.076
Nazareno Roselli,Defensa y Justicia,DEF,3,1.883,1.56
Gonzalo Gonzalez,Gimnasia y Esgrima,DEF,1,0.0,0.0
Maximiliano Salas,Independiente Rivadavia,DEL,5,7.562,8.187
Adrián Balboa,Banfield,DEL,2,6.807,6.807
Matias Reali,San Lorenzo,DEL,14,6.826,6.764
Julián Fernández,Rosario Central,DEL,14,6.784,6.403
Rubén Botta,Defensa y Justicia,DEL,13,6.083,6.289
Alex Luna,Instituto De Córdoba,DEL,24,6.15,6.197
Ronaldo Martinez,Vélez Sarsfield,DEL,2,5.281,6.089
Leandro Fernández,Defensa y Justicia,DEL,9,6.29,6.074
Sebastián Driussi,River Plate,DEL,19,5.162,5.417
Santiago Solari,Racing Club,DEL,20,5.105,5.411
Maximiliano Gutiérrez,CA Independiente,DEL,14,4.976,5.329
Lucas Janson,Boca Juniors,DEL,3,5.164,5.284
Giovanni Cantizano,Rosario Central,DEL,10,6.147,5.266
