match_id,date,round_name,home_team,away_team,score_home,score_away,referee,goles_totales,resultado_local
m_2ImO5V,2026-09-05,8,San Lorenzo,Talleres,1.0,0.0,Fernando Echenique,1.0,G
m_2IoMcO,2026-08-22,6,Independiente,Independiente Rivadavia,0.0,0.0,Yael Falcón Pérez,0.0,E
m_2iSmoq,2026-09-12,9,Estudiantes,Club Atlético Platense,2.0,1.0,Maximiliano Macheroni,3.0,G
m_2jeBEO,2026-01-27,2,Huracán,Independiente Rivadavia,1.0,2.0,Juan Pafundi,3.0,P
m_2jSZpM,2026-02-01,3,Boca Juniors,Newell's Old Boys,2.0,0.0,Darío Herrera,2.0,G
m_2k3hTY,2026-08-24,6,Tigre,Central Córdoba de Santiago,2.0,1.0,Fernando Echavarría,3.0,G
m_2k76Cm,2026-04-05,13,Gimnasia LP,Huracán,0.0,3.0,Jorge Ignacio Baliño,3.0,P
m_2kLUw0,2026-01-28,2,Aldosivi,Barracas Central,0.0,0.0,Luis Lobo Medina,0.0,E
m_2kYA49,2026-02-20,6,Estudiantes,Sarmiento,1.0,0.0,Andrés Merlos,1.0,G
m_2lA7Wg,2026-09-12,9,Independiente Rivadavia,Aldosivi,4.0,3.0,Darío Herrera,7.0,G
m_2LhyO1,2026-08-25,6,Talleres,Rosario Central,2.0,2.0,Sebastián Martínez,4.0,E
m_2M8Y8t,2026-02-21,6,Rosario Central,Talleres,0.0,1.0,Sebastían Zunino,1.0,P
m_2MNUQn,2026-02-20,6,Instituto,Atlético Tucumán,2.0,1.0,Fernando Espinoza,3.0,G
m_2MnXyo,2026-09-05,8,Gimnasia LP,Tigre,2.0,1.0,Daniel Alberto Zamora,3.0,G
m_2MVqzf,2026-02-08,4,Belgrano,Banfield,1.0,0.0,Sebastián Nicolás Martínez,1.0,G
m_2NfZWl,2026-04-07,13,Instituto,Defensa y Justicia,2.0,0.0,Andrés Merlos,2.0,G
m_2obGmX,2026-03-03,8,Huracán,Belgrano,3.0,1.0,Ariel Penel,4.0,G
m_2pE60O,2026-04-13,14,Lanús,Banfield,1.0,0.0,Nicolás Ramírez,1.0,G
m_2pi43m,2026-03-16,11,San Lorenzo,Defensa y Justicia,2.0,5.0,Pablo Dóvalo,7.0,P
m_2PMEYZ,2026-02-04,3,Independiente Rivadavia,Sarmiento,2.0,1.0,Luis Lobo Medina,3.0,G
