--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
940,José Sosa,ar ARG,MF,Estudiantes–LP,41-088,1985,4.5,0,4,1,25.0,0.88,0.22,0.00,0.00,0,0,Matches,1eecc0c6
941,Santiago Sosa,ar ARG,MFDF,Racing Club,27-135,1999,17.7,0,14,3,21.4,0.79,0.17,0.00,0.00,0,0,Matches,f080dd22
942,Santiago Sosa,ar ARG,MF,Defensa,21-228,2005,22.7,0,9,1,11.1,0.40,0.04,0.00,0.00,0,0,Matches,9857c88f
943,David Sotelo,ar ARG,MF,Newell's,23-047,2003,4.9,0,7,3,42.9,1.43,0.61,0.00,0.00,0,0,Matches,fb3b6565
944,Alexis Soto,ar ARG,DF,Rosario Central,32-330,1993,12.4,1,7,2,28.6,0.57,0.16,0.14,0.50,0,0,Matches,c20a7043
945,Guillermo Soto,cl CHI,DF,Tigre,32-248,1994,4.3,0,3,0,0.0,0.70,0.00,0.00,,0,0,Matches,42cdf326
946,Martín Soto,ar ARG,DF,Huracán,18-288,2007,0.3,0,1,0,0.0,3.75,0.00,0.00,,0,0,Matches,a188db1f
947,Lucas Souto,ar ARG,DFMF,Defensa,27-339,1998,16.6,1,7,2,28.6,0.42,0.12,0.14,0.50,0,0,Matches,ca39d38f
948,Adrián Sporle,ar ARG,DF,Belgrano,31-064,1995,16.4,0,7,3,42.9,0.43,0.18,0.00,0.00,0,0,Matches,f5122c46
949,Alexis Steimbach,ar ARG,DF,Gimnasia–LP,24-052,2002,18.9,1,14,1,7.1,0.74,0.05,0.07,1.00,0,0,Matches,95f77284
950,Ángel Stringa,ar ARG,FW,Dep. Riestra,30-162,1996,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,d446b144
951,Sheyko Studer,ar ARG,DF,Ind. Rivadavia,23-307,2002,17.3,2,8,4,50.0,0.46,0.23,0.25,0.50,0,0,Matches,7d3feecd
