--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
360,Joaquín Freitas,ar ARG,MFFW,River Plate,19-287,2006,9.7,1,15,5,33.3,1.55,0.52,0.07,0.20,0,0,Matches,62420800
361,Ramiro Funes Mori,ar ARG,DF,Estudiantes–LP,35-194,1991,4.9,0,1,0,0.0,0.20,0.00,0.00,,0,0,Matches,89cbc961
362,Lucas Gabriel Silva,ar ARG,MF,River Plate,19-201,2007,1.9,0,1,0,0.0,0.53,0.00,0.00,,0,0,Matches,04b50264
363,Ramiro Gagliardi,ar ARG,FW,Defensa,20-031,2006,0.1,0,2,1,50.0,15.00,7.50,0.00,0.00,0,0,Matches,4cf84014
364,Adolfo Gaich,ar ARG,FW,Estudiantes–LP,27-201,1999,7.1,4,19,7,36.8,2.66,0.98,0.21,0.57,0,0,Matches,8dfed6e9
365,Nicolás Gaitán,ar ARG,MF,Aldosivi,38-204,1988,4.6,1,9,3,33.3,1.94,0.65,0.11,0.33,0,0,Matches,7ebfac0f
366,Matías Galarza,ar ARG,MF,Talleres–C,24-195,2002,21.8,0,15,2,13.3,0.69,0.09,0.00,0.00,0,0,Matches,ea26f62e
367,Hernán Galíndez,ec ECU,GK,Huracán,39-169,1987,24.0,0,0,0,,0.00,0.00,,,0,0,Matches,89c136f6
368,Facundo Gallardo,ar ARG,MF,Estudiantes–RC,20-245,2006,1.7,0,2,2,100.0,1.15,1.15,0.00,0.00,0,0,Matches,5ef27510
369,Matías Gallardo,ar ARG,MF,Instituto,22-296,2003,8.8,1,14,2,14.3,1.59,0.23,0.07,0.50,0,0,Matches,b6c7daef
370,Rodrigo Gallo,ar ARG,DF,Dep. Riestra,25-315,2000,5.1,0,0,0,,0.00,0.00,,,0,0,Matches,ab84ccab
371,Giuliano Galoppo,ar ARG,MF,River Plate,27-089,1999,3.7,1,12,3,25.0,3.22,0.81,0.08,0.33,0,0,Matches,a8eeadaf
372,Francisco Galván,ar ARG,FW,Estudiantes–RC,27-061,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,6fe136c5
373,Ignacio Galván,ar ARG,DF,Atlé Tucumán,24-009,2002,16.8,0,10,3,30.0,0.60,0.18,0.00,0.00,0,0,Matches,e2525aa4
374,Jonathan Galván,ar ARG,DF,Instituto,34-082,1992,17.9,0,13,2,15.4,0.73,0.11,0.00,0.00,0,0,Matches,f865dc98
375,Tomás Galván,ar ARG,MF,River Plate,26-157,2000,18.7,4,32,12,37.5,1.71,0.64,0.13,0.33,0,0,Matches,e699d3db
376,Lucas Gamba,ar ARG,MF,Barracas Central,39-083,1987,1.5,1,4,2,50.0,2.71,1.35,0.25,0.50,0,0,Matches,ca252a8a
377,Martín Garay,ar ARG,MFDF,Tigre,27-095,1999,13.1,1,8,5,62.5,0.61,0.38,0.13,0.20,0,0,Matches,57148654
378,Agustín García Basso,ar ARG,DF,Racing Club,34-173,1992,5.7,0,3,0,0.0,0.53,0.00,0.00,,0,0,Matches,84c478aa
379,Franco García,ar ARG,MFFW,Newell's,29-103,1997,2.5,1,4,1,25.0,1.61,0.40,0.25,1.00,0,0,Matches,c06ffd65
380,Joaquín García,ar ARG,DF,Vélez Sarsfield,25-026,2001,20.0,2,6,5,83.3,0.30,0.25,0.33,0.40,0,0,Matches,14779141
381,Luciano Agustin Bonomo Garcia,ar ARG,MF,Belgrano,34-257,1992,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,30cc5726
382,Manuel García,ar ARG,MFDF,Sarmiento–J,27-096,1999,9.7,0,2,0,0.0,0.21,0.00,0.00,,0,0,Matches,64b184ac
383,Martín García,,MFFW,Aldosivi,,,9.3,0,24,5,20.8,2.58,0.54,0.00,0.00,0,0,Matches,461e8795
384,Mateo García,ar ARG,FWMF,Newell's,30-005,1996,1.2,0,2,1,50.0,1.67,0.83,0.00,0.00,0,0,Matches,62db2015
385,Matías García,ar ARG,MF,Dep. Riestra,30-308,1995,5.8,0,2,0,0.0,0.34,0.00,0.00,,0,0,Matches,fd4c1b7a
386,Ignacio Gariglio,ar ARG,DF,Dep. Riestra,28-143,1998,3.6,0,2,0,0.0,0.56,0.00,0.00,,0,0,Matches,d48edda3
387,Martín Garnerone,ar ARG,MFFW,Estudiantes–RC,27-352,1998,10.9,1,19,4,21.1,1.74,0.37,0.05,0.25,0,0,Matches,7fd2f019
388,Juan Gauto,ar ARG,MF,Platense,22-105,2004,13.6,0,26,9,34.6,1.92,0.66,0.00,0.00,0,0,Matches,1a0de1bd
389,Gonzalo Gelini,ar ARG,FW,Boca Juniors,19-274,2006,2.1,0,3,0,0.0,1.45,0.00,0.00,,0,0,Matches,61740a18
390,Alejo Gelsomino,ar ARG,DF,Gimnasia–LP,21-123,2005,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,12bc01fb
391,Bautista Gerez,ar ARG,FW,C. Córdoba–SdE,19-245,2007,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,1f8a7bf7
392,Laurtaro Giaccone,ar ARG,MFFW,Arg Juniors,25-226,2001,4.0,0,7,3,42.9,1.76,0.75,0.00,0.00,0,0,Matches,5a9ff6cf
393,Renzo Giampaoli,ar ARG,DF,Gimnasia–LP,26-251,2000,15.4,0,8,1,12.5,0.52,0.07,0.00,0.00,0,0,Matches,54d90093
394,Lautaro Gianetti,ar ARG,DF,Newell's,32-306,1993,8.2,0,4,0,0.0,0.49,0.00,0.00,,0,0,Matches,e08ac719
395,Santino Gianini,ar ARG,DF,Arg Juniors,17-356,2008,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,6a2891c8
396,Emiliano Giannunzio,ar ARG,MF,Unión,44-233,1982,5.2,0,6,2,33.3,1.15,0.38,0.00,0.00,0,0,Matches,1817c289
397,Leonardo Gil,ar ARG,MF,Huracán,35-107,1991,18.4,0,14,5,35.7,0.76,0.27,0.00,0.00,0,0,Matches,0ac8475f
398,Orlando Gill,py PAR,GK,CA San Lorenzo,26-096,2000,17.7,0,0,0,,0.00,0.00,,,0,0,Matches,0d425331
399,Elián Giménez,ar ARG,MF,Sarmiento–J,22-176,2004,2.3,0,4,0,0.0,1.71,0.00,0.00,,0,0,Matches,f936b331
400,Enzo Giménez,py PAR,MFDF,Rosario Central,28-210,1998,13.8,1,19,5,26.3,1.37,0.36,0.05,0.20,0,0,Matches,50cc35d1
401,Juan Giménez,ar ARG,DF,Rosario Central,20-141,2006,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,e907e63b
402,Luciano Giménez,ar ARG,FW,Huracán,26-209,2000,1.2,0,2,2,100.0,1.65,1.65,0.00,0.00,0,0,Matches,74d84a14
403,Luciano Giménez,ar ARG,FW,Platense,26-209,2000,2.2,1,5,2,40.0,2.31,0.92,0.20,0.50,0,0,Matches,74d84a14
404,Matías Giménez,ar ARG,FW,Arg Juniors,27-193,1999,2.0,1,3,2,66.7,1.49,0.99,0.33,0.50,0,0,Matches,966e3b08
405,Milton Giménez,ar ARG,FW,Boca Juniors,30-034,1996,3.0,3,12,5,41.7,4.01,1.67,0.25,0.60,1,1,Matches,526f7e39
406,Ulises Giménez,ar ARG,DF,Sarmiento–J,20-257,2006,2.3,0,3,1,33.3,1.33,0.44,0.00,0.00,0,0,Matches,78104f06
407,Federico Gino,uy URU,MF,Aldosivi,33-201,1993,11.4,2,16,3,18.8,1.40,0.26,0.13,0.67,1,1,Matches,2c9a3484
408,Dilan Godoy,ar ARG,FWMF,Vélez Sarsfield,20-222,2006,9.5,0,26,8,30.8,2.75,0.85,0.00,0.00,0,0,Matches,cd0befd7
409,Erik Godoy,ar ARG,DF,Arg Juniors,33-030,1993,6.6,1,5,1,20.0,0.76,0.15,0.20,1.00,0,0,Matches,e8b80334
410,Lautaro Godoy,py PAR,MF,Atlé Tucumán,23-184,2003,13.8,1,29,9,31.0,2.10,0.65,0.03,0.11,0,0,Matches,3546ee7e
411,Leonardo Godoy,ar ARG,DF,Independiente,31-140,1995,11.7,1,10,2,20.0,0.86,0.17,0.10,0.50,0,0,Matches,0f9d8e45
412,Matías Godoy,ar ARG,MF,Aldosivi,24-248,2002,5.2,0,8,0,0.0,1.53,0.00,0.00,,0,0,Matches,0085841a
413,Jonatan Goitía,ar ARG,MF,Dep. Riestra,32-044,1994,12.8,0,19,2,10.5,1.48,0.16,0.00,0.00,0,0,Matches,edbdf494
414,Elías Gómez,ar ARG,DF,Vélez Sarsfield,32-098,1994,23.7,0,6,0,0.0,0.25,0.00,0.00,,0,0,Matches,9f110faf
415,Emmanuel Gómez,ar ARG,GK,Ind. Rivadavia,25-001,2001,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,18908e5b
416,Iván Gómez,ar ARG,MF,Platense,29-199,1997,10.5,0,9,1,11.1,0.86,0.10,0.00,0.00,0,0,Matches,426ec996
417,José Gómez,ar ARG,DF,C. Córdoba–SdE,26-193,2000,0.7,0,1,0,0.0,1.45,0.00,0.00,,0,0,Matches,e7b74651
418,Lautaro Gómez,ar ARG,MF,Banfield,23-038,2003,11.4,4,15,8,53.3,1.32,0.70,0.27,0.50,0,0,Matches,61d1a611
419,Lucas Gómez,ar ARG,MF,Newell's,22-090,2004,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,c19830ba
420,Lucas Gómez,ar ARG,MF,Arg Juniors,22-090,2004,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,c19830ba
421,Luciano Gómez,ar ARG,DF,Ind. Rivadavia,30-177,1996,7.3,1,5,3,60.0,0.69,0.41,0.20,0.33,0,0,Matches,0bc8cd45
422,Matias Gomez,ar ARG,MF,Talleres–C,20-296,2005,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,578cbfc6
423,Thiago Gómez,ar ARG,DF,Arg Juniors,20-181,2006,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,539e6231
424,Alexis González,ar ARG,FW,Sarmiento–J,21-245,2005,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,0ad8abf4
425,Imanol González Benac,ar ARG,DF,Gimnasia–M,28-252,1998,6.4,0,2,0,0.0,0.31,0.00,0.00,,0,0,Matches,46ef5ad0
426,Facundo González,ar ARG,DF,River Plate,20-165,2006,1.5,0,1,0,0.0,0.65,0.00,0.00,,0,0,Matches,f595ea9c
427,Francisco González,ar ARG,MF,Belgrano,29-170,1997,9.0,3,20,4,20.0,2.22,0.44,0.15,0.75,0,0,Matches,d454a739
428,Gaston Gonzalez,ar ARG,MF,Sarmiento–J,25-080,2001,2.0,1,5,2,40.0,2.45,0.98,0.20,0.50,0,0,Matches,74fef6d2
429,Giovanni González,uy URU,DF,River Plate,31-360,1994,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,1fc474ae
430,Gonzalo González,ar ARG,MF,Estudiantes–RC,31-193,1995,7.6,0,2,0,0.0,0.26,0.00,0.00,,0,0,Matches,c5282c88
431,Gonzalo González,ar ARG,FW,Gimnasia–LP,31-193,1995,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,c5282c88
432,Lucas González,ar ARG,FW,Estudiantes–RC,29-052,1997,1.1,0,3,1,33.3,2.62,0.87,0.00,0.00,0,0,Matches,cadfd4d6
433,Lucas González,ar ARG,MF,C. Córdoba–SdE,26-104,2000,16.5,0,26,1,3.8,1.57,0.06,0.00,0.00,0,0,Matches,528b1be4
434,Luciano González,uy URU,FW,Defensa,20-257,2006,1.4,0,3,1,33.3,2.08,0.69,0.00,0.00,0,0,Matches,c8989346
435,Leandro González Pirez,ar ARG,DF,Estudiantes–LP,34-201,1992,14.6,1,8,3,37.5,0.55,0.21,0.13,0.33,0,0,Matches,5ba1112c
436,Rodrigo González,ar ARG,DFMF,Aldosivi,26-154,2000,15.5,0,10,3,30.0,0.65,0.19,0.00,0.00,0,0,Matches,a01052f2
437,Santiago González,ar ARG,MF,Tigre,23-135,2003,5.7,0,4,0,0.0,0.71,0.00,0.00,,0,0,Matches,2223cdf0
438,Tomás González,ar ARG,MF,Dep. Riestra,23-120,2003,4.4,2,14,5,35.7,3.21,1.15,0.14,0.40,0,0,Matches,960cec50
439,Tomás González,ar ARG,MF,Estudiantes–RC,27-318,1998,19.0,0,19,2,10.5,1.00,0.11,0.00,0.00,0,0,Matches,c3392671
440,Tomás González,ar ARG,FW,Unión,23-120,2003,0.2,0,1,0,0.0,5.00,0.00,0.00,,0,0,Matches,960cec50
441,Jano Gordon,ar ARG,DF,Vélez Sarsfield,22-091,2004,2.9,1,2,2,100.0,0.70,0.70,0.50,0.50,0,0,Matches,1477cae6
442,Dylan Gorosito,ar ARG,DF,Boca Juniors,20-224,2006,5.1,0,2,0,0.0,0.40,0.00,0.00,,0,0,Matches,78873bad
443,Miguel Graneros,ar ARG,FW,Dep. Riestra,30-140,1996,0.5,0,2,0,0.0,4.00,0.00,0.00,,0,0,Matches,6eeefe55
444,Rodrigo Granillo,ar ARG,MF,Atlé Tucumán,20-226,2006,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,6cfc2354
445,Santiago Grella,ar ARG,MF,Unión,21-183,2005,0.8,0,2,0,0.0,2.65,0.00,0.00,,0,0,Matches,d62bf368
446,Iván Guaraz,ar ARG,MF,Barracas Central,21-127,2005,5.3,0,4,0,0.0,0.75,0.00,0.00,,0,0,Matches,75c06d00
447,Facundo Guch,ar ARG,MF,Newell's,19-238,2007,17.9,2,28,7,25.0,1.57,0.39,0.07,0.29,0,0,Matches,d6c09370
448,Nicolás Guerra,cl CHI,FWMF,Instituto,27-249,1999,6.6,1,22,4,18.2,3.34,0.61,0.05,0.25,0,0,Matches,a4d527c6
449,Álvaro Güich,ar ARG,DF,Rosario Central,17-257,2009,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,704874c1
450,Tomás Guidara,ar ARG,DF,Lanús,30-186,1996,18.2,0,4,0,0.0,0.22,0.00,0.00,,0,0,Matches,14efa370
451,Germán Guiffrey,ar ARG,DF,Gimnasia–M,28-258,1997,1.8,0,0,0,,0.00,0.00,,,0,0,Matches,80fbd865
452,Facundo Gulli,ar ARG,MFFW,CA San Lorenzo,20-355,2005,11.5,0,15,7,46.7,1.30,0.61,0.00,0.00,0,0,Matches,62b0b5ad
453,Rodrigo Guth,br BRA,DF,Talleres–C,25-309,2000,1.1,0,0,0,,0.00,0.00,,,0,0,Matches,cb1916e0
454,Juan Gutierrez,uy URU,MFFW,Defensa,24-223,2002,23.2,4,52,21,40.4,2.24,0.91,0.08,0.19,0,0,Matches,1b37c107
455,Kevin Gutiérrez,ar ARG,MF,Rosario Central,20-228,2006,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,288ac952
456,Lautaro Gutierrez,ar ARG,FW,Belgrano,20-222,2006,4.8,2,12,5,41.7,2.50,1.04,0.17,0.40,0,0,Matches,5260ba4a
457,Maximiliano Gutiérrez,cl CHI,MFFW,Independiente,22-135,2004,8.8,3,21,6,28.6,2.39,0.68,0.14,0.50,0,0,Matches,ad65188e
458,Natanael Guzmán,ar ARG,FWMF,Aldosivi,27-035,1999,4.9,0,7,3,42.9,1.43,0.61,0.00,0.00,0,0,Matches,10fe416e
459,Ezequiel Ham,sy SYR,MF,Atlé Tucumán,32-189,1994,8.4,0,12,1,8.3,1.43,0.12,0.00,0.00,0,0,Matches,300753b4
460,Agustin Hausch,ar ARG,MFFW,Defensa,23-117,2003,10.8,1,18,11,61.1,1.66,1.02,0.06,0.09,0,0,Matches,098a28f8
461,Diego Herazo,co COL,FW,CA San Lorenzo,30-154,1996,1.3,1,5,1,20.0,3.98,0.80,0.20,1.00,0,0,Matches,c78eb31f
462,Leonardo Heredia,ar ARG,FWMF,Platense,30-247,1996,8.8,0,20,6,30.0,2.27,0.68,0.00,0.00,0,0,Matches,45cfa4ba
463,Ramiro Hernandes,ar ARG,MF,Belgrano,21-307,2004,11.2,2,18,3,16.7,1.61,0.27,0.11,0.67,0,0,Matches,bd04e8dc
464,Gastón Hernández,ar ARG,DF,CA San Lorenzo,28-239,1998,8.9,0,2,0,0.0,0.23,0.00,0.00,,0,0,Matches,7b33603b
465,Matías Hernández,ar ARG,FW,CA San Lorenzo,21-101,2005,0.6,0,1,1,100.0,1.67,1.67,0.00,0.00,0,0,Matches,535f8db8
466,Matías Hernández,ar ARG,FW,Banfield,21-101,2005,1.8,1,3,2,66.7,1.69,1.13,0.33,0.50,1,1,Matches,535f8db8
467,Ander Herrera,es ESP,MF,Boca Juniors,37-032,1989,5.2,0,7,1,14.3,1.35,0.19,0.00,0.00,0,0,Matches,436a9dd0
468,Ezequiel Herrera,ar ARG,DF,CA San Lorenzo,23-236,2003,20.2,1,10,3,30.0,0.50,0.15,0.10,0.33,0,0,Matches,5432fe10
469,Facundo Herrera,ar ARG,DF,Boca Juniors,20-066,2006,1.8,0,0,0,,0.00,0.00,,,0,0,Matches,ee97ee32
470,Guido Herrera,ar ARG,GK,Talleres–C,34-198,1992,16.0,0,0,0,,0.00,0.00,,,0,0,Matches,4b9b1f3a
471,Jonathan Herrera,ar ARG,FW,Dep. Riestra,34-364,1991,10.9,0,26,10,38.5,2.39,0.92,0.00,0.00,0,0,Matches,2f6ff462
472,Jonathan Herrera,ar ARG,FW,Sarmiento–J,34-364,1991,6.3,1,12,5,41.7,1.92,0.80,0.08,0.20,0,0,Matches,2f6ff462
473,Rodrigo Herrera,ar ARG,MF,Newell's,26-044,2000,14.6,0,11,1,9.1,0.75,0.07,0.00,0.00,0,0,Matches,1537c952
474,Ibrahim Hesar,sy SYR,FW,Estudiantes–RC,32-304,1993,5.5,1,6,1,16.7,1.10,0.18,0.17,1.00,1,1,Matches,34a98984
475,Michael Hoyos,ar ARG,FW,Newell's,35-044,1991,4.8,1,8,2,25.0,1.67,0.42,0.13,0.50,0,0,Matches,76cf9432
476,Marco Iacobellis,ar ARG,MFFW,C. Córdoba–SdE,26-262,1999,10.7,0,33,7,21.2,3.07,0.65,0.00,0.00,0,0,Matches,93cfb989
477,Fabricio Iacovich,ar ARG,GK,Estudiantes–LP,24-229,2002,8.5,0,0,0,,0.00,0.00,,,0,0,Matches,bf6410b8
478,César Ibáñez,ar ARG,DF,Huracán,27-090,1999,18.1,0,18,3,16.7,0.99,0.17,0.00,0.00,0,0,Matches,78d48e60
479,Franco Ibarra,ar ARG,MF,Rosario Central,25-140,2001,21.1,0,13,2,15.4,0.62,0.09,0.00,0.00,0,0,Matches,db6540c5
480,Marcos Ignacio Ledesma,ar ARG,GK,Instituto,30-000,1996,9.0,0,0,0,,0.00,0.00,,,0,0,Matches,97232163
481,Juan Ignacio Méndez,ar ARG,MF,Instituto,29-140,1997,8.1,0,7,0,0.0,0.87,0.00,0.00,,0,0,Matches,035a3093
482,Juan Ignacio Ramírez,uy URU,FW,Newell's,29-226,1997,8.5,4,19,9,47.4,2.23,1.06,0.21,0.44,1,1,Matches,ad513a6b
483,Juan Infante,ar ARG,DF,Atlé Tucumán,30-251,1996,2.0,0,3,1,33.3,1.48,0.49,0.00,0.00,0,0,Matches,13f61a69
484,Gino Infantino,ar ARG,MF,Arg Juniors,23-119,2003,0.4,0,1,1,100.0,2.50,2.50,0.00,0.00,0,0,Matches,546c7f68
485,Celías Ingenthron,ar ARG,DF,Platense,18-079,2008,3.2,0,1,0,0.0,0.31,0.00,0.00,,0,0,Matches,7f076123
486,Luis Ingolotti,ar ARG,GK,Atlé Tucumán,26-244,2000,25.0,0,0,0,,0.00,0.00,,,0,0,Matches,e5b1d1e6
487,José Ingratti,ar ARG,FW,Dep. Riestra,26-049,2000,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,a6756735
488,Emanuel Iñíguez,ar ARG,DF,Aldosivi,29-364,1996,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,ff022a7c
489,Manuel Insaurralde,ar ARG,MF,CA San Lorenzo,27-227,1999,8.0,1,6,2,33.3,0.75,0.25,0.17,0.50,0,0,Matches,eb1df660
490,Nelson Insfrán,ar ARG,GK,Gimnasia–LP,31-114,1995,22.3,0,0,0,,0.00,0.00,,,0,0,Matches,6a72010c
491,Rodrigo Insúa,ar ARG,MFDF,Barracas Central,28-273,1997,22.1,3,25,8,32.0,1.13,0.36,0.12,0.38,2,2,Matches,094c0621
492,Carlos Izquierdoz,ar ARG,DF,Lanús,37-316,1988,21.0,3,14,4,28.6,0.67,0.19,0.21,0.75,0,1,Matches,cf5c3ef1
493,Cristian Jaime,ar ARG,FW,River Plate,20-063,2006,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,7ecb2377
494,Facundo Jainikoski,ar ARG,FWMF,Arg Juniors,18-184,2008,8.1,0,21,5,23.8,2.59,0.62,0.00,0.00,0,0,Matches,bbb925bf
495,Lucas Janson,ar ARG,FWMF,Boca Juniors,32-030,1994,2.0,0,2,2,100.0,0.99,0.99,0.00,0.00,0,0,Matches,f3f2db7a
496,Lucas Janson,ar ARG,MF,Gimnasia–LP,32-030,1994,3.3,0,9,1,11.1,2.76,0.31,0.00,0.00,0,0,Matches,f3f2db7a
497,Kevin Jappert,ar ARG,DF,Barracas Central,22-202,2004,14.4,1,10,3,30.0,0.69,0.21,0.10,0.33,0,0,Matches,879d015a
498,Franco Jara,ar ARG,FW,Instituto,38-062,1988,7.9,1,18,6,33.3,2.28,0.76,0.06,0.17,1,2,Matches,413cce14
499,Máximo Jonás Cabrera,ar ARG,MF,Defensa,17-347,2008,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,67f52669
500,David Juárez,ar ARG,FW,Aldosivi,18-295,2007,0.2,0,1,1,100.0,4.50,4.50,0.00,0.00,0,0,Matches,b4f69c77
501,Fernando Juárez,ar ARG,MF,C. Córdoba–SdE,28-023,1998,3.5,0,0,0,,0.00,0.00,,,0,0,Matches,2aebc81b
502,Julián Kadijevic,ar ARG,GK,Gimnasia–LP,22-231,2004,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,fab2776f
503,Nsumoh Kalu,sk SVK,FW,Dep. Riestra,25-093,2001,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,63b9e3c3
504,Ryoga Kida,jp JPN,FW,Arg Juniors,21-062,2005,1.0,1,4,2,50.0,3.83,1.91,0.25,0.50,0,0,Matches,143ec41e
505,Luca Klimowicz,ar ARG,FW,Instituto,22-119,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,40b1ca34
506,Matías Kranevitter,ar ARG,MF,Racing Club,33-117,1993,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,314bdac5
507,Agustín Ladstatter,ar ARG,MF,CA San Lorenzo,21-102,2005,5.6,0,12,3,25.0,2.16,0.54,0.00,0.00,0,0,Matches,22070e3e
508,Agustín Lagos,ar ARG,DF,Platense,24-341,2001,5.9,0,2,1,50.0,0.34,0.17,0.00,0.00,0,0,Matches,09cdea58
509,Lucas Lamella,ar ARG,DF,Gimnasia–LP,16-278,2009,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,e4856993
510,Nicolás Laméndola,ar ARG,MFFW,Atlé Tucumán,27-277,1998,19.4,1,20,7,35.0,1.03,0.36,0.05,0.14,0,0,Matches,bde55241
511,Leonardo Landriel,ar ARG,MF,Dep. Riestra,30-063,1996,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,1e9ff026
512,Manuel Lanzini,ar ARG,MF,Vélez Sarsfield,33-212,1993,20.8,6,33,14,42.4,1.59,0.67,0.18,0.43,0,0,Matches,26f6dca8
513,Thiago Laplace,ar ARG,MF,Lanús,20-165,2006,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,39b3e1a9
514,Alan Laprida,ar ARG,MF,C. Córdoba–SdE,21-350,2004,4.6,0,2,0,0.0,0.43,0.00,0.00,,0,0,Matches,1cb8e301
515,Joaquín Laso,ar ARG,DF,Tigre,36-073,1990,16.6,0,6,0,0.0,0.36,0.00,0.00,,0,0,Matches,3c7a3791
516,Agustín Lastra,ar ARG,GK,Estudiantes–RC,25-256,2001,11.0,0,0,0,,0.00,0.00,,,0,0,Matches,36fef392
517,Federico Laurelli,ar ARG,MFDF,Aldosivi,22-067,2004,2.7,0,1,0,0.0,0.37,0.00,0.00,,0,0,Matches,4881c373
518,Jeremías Lázaro,ar ARG,MFFW,Instituto,22-079,2004,7.1,1,13,1,7.7,1.82,0.14,0.08,1.00,0,0,Matches,f1a9a9f0
519,Jeremías Ledesma,ar ARG,GK,Rosario Central,33-214,1993,20.0,0,0,0,,0.00,0.00,,,0,0,Matches,6c4776b1
520,Tobías Leiva,ar ARG,MF,Estudiantes–RC,22-218,2004,0.9,0,1,0,0.0,1.11,0.00,0.00,,0,0,Matches,702d6920
521,Gonzalo Lencina,ar ARG,FW,Platense,28-332,1997,7.4,1,22,7,31.8,2.96,0.94,0.05,0.14,0,0,Matches,e9263403
522,Santiago Lencina,ar ARG,MF,River Plate,21-011,2005,0.7,0,1,0,0.0,1.34,0.00,0.00,,0,0,Matches,8d88e3be
523,Facundo Lencioni,ar ARG,MF,Gimnasia–M,25-213,2001,23.3,4,62,20,32.3,2.66,0.86,0.06,0.20,0,1,Matches,afc6d172
524,Alan Lescano,ar ARG,MF,Arg Juniors,24-308,2001,20.2,4,31,13,41.9,1.54,0.64,0.13,0.31,1,1,Matches,b88b1142
525,Leandro Lescano,ar ARG,DF,Huracán,23-196,2003,3.3,0,5,1,20.0,1.52,0.30,0.00,0.00,0,0,Matches,75aed4a8
526,Bruno Leyes,ar ARG,MF,Tigre,24-320,2001,13.5,0,8,0,0.0,0.59,0.00,0.00,,0,0,Matches,07453486
527,Franco Leys,ar ARG,MF,Aldosivi,32-332,1993,5.6,0,2,1,50.0,0.36,0.18,0.00,0.00,0,0,Matches,6c149b4d
528,Nicolás Linares,ar ARG,MF,Aldosivi,30-193,1996,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,dbc15928
529,Nicolás Linares,ar ARG,MF,Gimnasia–M,30-193,1996,7.2,0,3,2,66.7,0.41,0.28,0.00,0.00,0,0,Matches,dbc15928
530,Francesco Lo Celso,ar ARG,MF,Estudiantes–RC,26-194,2000,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,53ea4157
531,Gonzalo Lobos,py PAR,FW,Lanús,19-224,2007,0.1,0,1,0,0.0,9.00,0.00,0.00,,0,0,Matches,b206ca78
532,Gastón Lodico,ar ARG,MF,Racing Club,28-110,1998,2.5,0,4,1,25.0,1.59,0.40,0.00,0.00,0,0,Matches,0373879c
533,Gastón Lodico,ar ARG,MF,Instituto,28-110,1998,12.3,0,11,4,36.4,0.89,0.32,0.00,0.00,0,0,Matches,0373879c
534,Kevin Lomónaco,ar ARG,DF,Independiente,24-250,2002,19.8,0,7,1,14.3,0.35,0.05,0.00,0.00,0,0,Matches,dd5ddb83
535,Santiago Longo,ar ARG,MF,Belgrano,28-156,1998,7.0,0,4,1,25.0,0.57,0.14,0.00,0.00,0,0,Matches,9a102b86
536,Elías López,ar ARG,DFMF,Aldosivi,26-069,2000,5.0,0,3,0,0.0,0.60,0.00,0.00,,0,0,Matches,bc78521f
537,Fabricio López,ar ARG,DF,CA San Lorenzo,23-298,2002,2.9,0,3,0,0.0,1.03,0.00,0.00,,0,0,Matches,0c1481b0
538,Julián López,ar ARG,MF,Defensa,26-250,2000,2.8,0,0,0,,0.00,0.00,,,0,0,Matches,698923cf
539,Lisandro López,ar ARG,DF,Belgrano,37-014,1989,20.3,1,14,5,35.7,0.69,0.25,0.07,0.20,0,0,Matches,8320fe65
540,Marcos López,ar ARG,DF,Banfield,19-337,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,2f72b86c
