,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
111,Tomás Belmonte,ar ARG,MF,Boca Juniors,28-111,1998,14,9,794,8.8,1,1,2,1,0,0,4,0,0.11,0.11,0.23,0.11,0.23,Matches,9928bf1a
112,Lucas Beltrán,ar ARG,FW,River Plate,25-170,2001,9,4,421,4.7,0,2,2,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matches,482d2bc3
113,Santiago Beltrán,ar ARG,GK,River Plate,21-346,2004,25,24,2205,24.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,83340875
114,Gastón Benedetti,ar ARG,DF,Estudiantes–LP,25-170,2001,20,18,1627,18.1,0,2,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches,58a19703
115,Blas Benedetto,ar ARG,MF,Newell's,20-182,2006,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aa3aa676
116,Nicolás Benegas,ar ARG,FW,Dep. Riestra,30-198,1996,18,9,821,9.1,1,0,1,1,0,0,6,0,0.11,0.00,0.11,0.11,0.11,Matches,b7b1dea7
117,Alcides Benítez,py PAR,DFMF,Belgrano,24-079,2002,20,16,1347,15.0,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,6359a492
118,Martín Benítez,ar ARG,FW,Atlé Tucumán,32-090,1994,3,1,95,1.1,1,0,1,0,1,1,0,0,0.95,0.00,0.95,0.00,0.00,Matches,c122e34e
119,Fernando Bersano,ar ARG,DFMF,Estudiantes–RC,28-255,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13718190
120,Lucas Besozzi,ar ARG,MF,Lanús,23-236,2003,21,6,673,7.5,0,2,2,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,Matches,d8dcc840
121,Juan Bisanz,ar ARG,FWMF,Huracán,25-018,2001,21,11,1090,12.1,2,1,3,2,0,0,2,0,0.17,0.08,0.25,0.17,0.25,Matches,7a012117
122,Domingo Blanco,ar ARG,MF,Defensa,31-146,1995,7,1,198,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c21f5b76
123,Lautaro Blanco,ar ARG,DF,Boca Juniors,27-208,1999,22,20,1810,20.1,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches,1657f448
124,Nicolás Blanco,ar ARG,DF,CA San Lorenzo,19-158,2007,2,2,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7ba8f32a
125,Lucas Blondel,ch SUI,DFMF,Huracán,30-001,1996,17,16,1439,16.0,1,1,2,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matches,4b97076c
126,Héctor Bobadilla,py PAR,FW,Platense,25-099,2001,3,0,72,0.8,1,0,1,1,0,0,0,0,1.25,0.00,1.25,1.25,1.25,Matches,9b003b2b
127,Roberto Bochi,ar ARG,MF,Aldosivi,39-071,1987,10,9,672,7.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,396970dd
128,Rodrigo Bogarín,py PAR,MF,Barracas Central,29-114,1997,7,1,192,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5bc7c208
