,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
747,Mateo Peresutti,ar ARG,MF,Unión,19-270,2006,3,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7c720afc
748,Elías Pereyra,ar ARG,DF,Barracas Central,27-212,1999,6,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d27d8a0b
749,Elías Pereyra,ar ARG,MFDF,Defensa,27-212,1999,11,6,558,6.2,2,0,2,2,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,d27d8a0b
750,Fabio Pereyra,ar ARG,DF,Huracán,36-227,1990,19,18,1584,17.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,71862cd6
751,Joaquín Pereyra,ar ARG,DF,Estudiantes–LP,21-091,2005,4,4,293,3.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c03bfffd
752,Lautaro Pereyra,ar ARG,MF,River Plate,18-171,2008,8,2,176,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,12b4b194
753,Benjamín Pérez,ar ARG,MF,Dep. Riestra,20-104,2006,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b61a5d18
754,César Pérez,cl CHI,MF,Defensa,23-290,2002,12,10,937,10.4,1,2,3,1,0,0,3,0,0.10,0.19,0.29,0.10,0.29,Matches,9dde0ebb
755,Enzo Pérez,ar ARG,MF,Arg Juniors,40-205,1986,5,1,111,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6d27cfc2
756,Ezequiel Pérez,ar ARG,MF,Racing Club,18-115,2008,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,449f86ae
757,Fabricio Pérez,ar ARG,MF,Estudiantes–LP,20-282,2005,21,15,1102,12.2,3,0,3,3,0,0,3,0,0.25,0.00,0.25,0.25,0.25,Matches,ebdd4e9f
758,Gonzalo Pérez,uy URU,DFMF,Lanús,25-254,2001,12,7,687,7.6,0,1,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches,cede2aa9
759,Juan Pérez,co COL,MF,Gimnasia–LP,22-052,2004,4,1,126,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ff94c3e2
760,Leonel Pérez,ar ARG,MF,Racing Club,22-037,2004,5,4,377,4.2,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,5c0eca35
761,Mateo Pérez,ar ARG,MF,Independiente,20-234,2006,16,13,1023,11.4,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,7e020448
762,Matías Pérez,ar ARG,DF,Racing Club,27-196,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9f918d39
763,Tomás Pérez,ar ARG,FW,Defensa,20-141,2006,5,0,58,0.6,1,0,1,1,0,0,0,0,1.55,0.00,1.55,1.55,1.55,Matches,63b77bfa
764,Tomás Pérez,ar ARG,FW,Racing Club,20-141,2006,2,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,63b77bfa
765,Tiziano Perrotta,ar ARG,FW,Banfield,19-294,2006,17,15,1177,13.1,6,1,7,6,0,0,1,0,0.46,0.08,0.54,0.46,0.54,Matches,78b9a5c4
766,Tiziano Perrotta,ar ARG,MFFW,Defensa,19-294,2006,4,3,251,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,78b9a5c4
767,Francisco Perruzzi,ar ARG,MF,CA San Lorenzo,25-013,2001,4,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,33359192
768,Francisco Perruzzi,ar ARG,MF,Aldosivi,25-013,2001,4,0,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,33359192
769,Ignacio Perruzzi,ar ARG,MF,CA San Lorenzo,21-163,2005,18,14,1167,13.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,e1e47f6e
770,Franco Petroli,ar ARG,GK,Lanús,28-096,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3836b6f6
771,Lautaro Petruchi,ar ARG,GK,Gimnasia–M,28-014,1998,2,2,180,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,95dc5e14
772,Germán Pezzella,ar ARG,DF,River Plate,35-080,1991,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c725b43
773,Valente Pierani,ar ARG,DF,Estudiantes–LP,20-205,2006,3,3,194,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,50190225
774,Bautista Pieroni,ar ARG,DF,Estudiantes–RC,18-054,2008,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,555ce5b8
775,Juan Pignani,ar ARG,DF,C. Córdoba–SdE,25-075,2001,8,7,602,6.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,c3fb942c
776,Facundo Pimienta,ar ARG,FW,Atlé Tucumán,23-060,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1029a288
777,Gonzalo Piñeiro,ar ARG,MF,Tigre,25-347,2000,7,4,319,3.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7799ee6f
778,Lisandro Piñero,ar ARG,MF,Banfield,19-062,2007,19,6,677,7.5,0,1,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches,8bd8e620
779,Juan Pintado,uy URU,DF,Unión,32-049,1994,8,4,458,5.1,0,1,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches,ba31fd7e
780,Lautaro Piola,ar ARG,FW,Vélez Sarsfield,18-225,2008,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,57991d65
781,Lucas Piovi,ar ARG,MF,Estudiantes–LP,34-026,1992,21,20,1655,18.4,1,1,2,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,Matches,27517ef6
782,Bruno Pittón,ar ARG,DF,Unión,33-226,1993,16,5,526,5.8,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,e6ff541d
783,Mauro Pittón,ar ARG,MF,Unión,32-038,1994,16,16,1399,15.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,363fa6bd
784,Damián Pizarro,cl CHI,FW,Racing Club,21-171,2005,2,2,115,1.3,0,1,1,0,0,0,0,0,0.00,0.78,0.78,0.00,0.78,Matches,464e03ef
785,Vicente Pizarro,cl CHI,MF,Rosario Central,23-314,2002,24,24,1923,21.4,1,1,2,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,Matches,dba1f4ca
786,Joaquín Pombo,ar ARG,DF,Aldosivi,25-181,2001,9,8,765,8.5,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,6f41c0bc
787,Diego Porcel,ar ARG,MFFW,Arg Juniors,21-237,2005,21,6,645,7.2,1,0,1,1,0,0,4,1,0.14,0.00,0.14,0.14,0.14,Matches,3ecae01c
788,Maximiliano Porcel,ar ARG,MF,Defensa,20-256,2006,5,0,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5fff6887
789,Tomás Porra,ar ARG,MF,Barracas Central,22-249,2004,25,24,2003,22.3,1,4,5,1,0,0,5,0,0.04,0.18,0.22,0.04,0.22,Matches,77c42172
790,Ayrton Portillo,ar ARG,MFDF,Defensa,26-028,2000,16,13,1129,12.5,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32,Matches,a1f80904
791,Juan Portillo,ar ARG,DFMF,River Plate,26-120,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f9ae3a1
792,Sebastián Prieto,ar ARG,DF,Arg Juniors,33-159,1993,23,22,1775,19.7,2,2,4,2,0,0,6,1,0.10,0.10,0.20,0.10,0.20,Matches,3e0b3184
793,Rafael Profini,ar ARG,MF,Unión,23-006,2003,16,16,1322,14.7,1,5,6,1,0,0,1,0,0.07,0.34,0.41,0.07,0.41,Matches,d12f8940
794,Maximiliano Puig,ar ARG,MF,Barracas Central,25-362,2000,4,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e1dac904
795,Ignacio Pussetto,ar ARG,FW,Huracán,30-268,1995,4,2,206,2.3,1,0,1,0,1,1,1,0,0.44,0.00,0.44,0.00,0.00,Matches,62437b4f
796,Ignacio Pussetto,ar ARG,MF,Independiente,30-268,1995,10,5,417,4.6,1,0,1,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches,62437b4f
797,Carlos Quintana,ar ARG,DF,Dep. Riestra,38-216,1988,6,6,495,5.5,0,1,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches,26176390
798,Carlos Quintana,ar ARG,DF,Rosario Central,38-216,1988,4,2,238,2.6,0,1,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,Matches,26176390
799,Juan Quintero,co COL,MF,River Plate,33-240,1993,12,6,549,6.1,2,2,4,2,0,1,0,0,0.33,0.33,0.66,0.33,0.66,Matches,540d0b37
800,Agustin Quiroga,ar ARG,DF,Estudiantes–RC,24-162,2002,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7a6f6903
801,Agustin Quiroga,ar ARG,DF,C. Córdoba–SdE,24-162,2002,13,9,802,8.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7a6f6903
802,Aaron Quirós,ar ARG,DF,Vélez Sarsfield,24-319,2001,7,4,382,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,95fd4bf2
803,Santiago Quiros,ar ARG,DF,Platense,23-195,2003,2,1,116,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,51bbeea0
804,Luca Rafaelli,,MF,Instituto,,,9,1,247,2.7,1,1,2,1,0,0,2,0,0.36,0.36,0.73,0.36,0.73,Matches,9ca91442
805,Luca Raffin,py PAR,DF,Rosario Central,20-245,2006,8,2,215,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,326f1c7c
806,Eugenio Raggio,ar ARG,DF,Platense,25-015,2001,8,8,720,8.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7d55f5e4
807,Yonatthan Rak,uy URU,DF,Barracas Central,33-028,1993,11,9,752,8.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b75a1b03
808,Eric Ramírez,ar ARG,MF,Huracán,29-359,1996,9,1,149,1.7,0,1,1,0,0,0,1,0,0.00,0.60,0.60,0.00,0.60,Matches,9492f6e2
809,Eric Ramírez,ar ARG,FWMF,Unión,29-359,1996,7,0,101,1.1,2,0,2,2,0,0,0,0,1.78,0.00,1.78,1.78,1.78,Matches,9492f6e2
810,Mateo Ramírez,ar ARG,MF,Dep. Riestra,31-240,1995,1,0,16,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3eaf851f
811,Pedro Ramírez,ar ARG,DFMF,Dep. Riestra,26-164,2000,16,14,1193,13.3,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,6cc0a227
812,Tobías Ramírez,ar ARG,DF,Arg Juniors,19-308,2006,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4c0c10de
813,Tobías Ramírez,ar ARG,DF,River Plate,19-308,2006,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4c0c10de
814,Victorio Ramis,ar ARG,FW,Ind. Rivadavia,32-070,1994,5,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f936dcd7
815,Luciano Ramón Herrera,ar ARG,MFFW,Newell's,30-107,1996,16,10,833,9.3,0,1,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches,e3ec96c1
816,Lucas Ramos,ar ARG,MF,Rosario Central,20-245,2006,2,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b2c18993
817,Juan Randazzo,ar ARG,DF,Dep. Riestra,31-339,1994,12,10,932,10.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,6108df6f
818,Juan Rattalino,ar ARG,MF,CA San Lorenzo,22-235,2004,9,1,263,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,98dc6e33
819,Matías Reali,ar ARG,MFFW,CA San Lorenzo,28-305,1997,13,8,725,8.1,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,e1358992
820,Matías Recalde,ar ARG,DF,Gimnasia–M,29-068,1997,20,12,1268,14.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,59e2f709
821,Luca Regiardo,ar ARG,MF,Newell's,19-327,2006,20,20,1768,19.6,1,0,1,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,Matches,101b4b71
822,Josue Reinatti,ar ARG,GK,Newell's,23-105,2003,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,70ce8fa7
823,Jhon Rentería,co COL,MFFW,Sarmiento–J,20-326,2005,9,4,410,4.6,0,1,1,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches,dbf30726
824,Gonzalo Requena,ar ARG,DF,Tigre,23-195,2003,2,1,82,0.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,0f978661
825,Kevin Retamar,ar ARG,MFFW,Platense,27-221,1999,20,13,1119,12.4,3,2,5,3,0,0,0,0,0.24,0.16,0.40,0.24,0.40,Matches,bf082cf1
826,Camilo Rey,ar ARG,MF,Boca Juniors,20-189,2006,7,4,322,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,94454e87
827,Rodrigo Rey,ar ARG,GK,Independiente,35-191,1991,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,6436748b
828,Federico Ricca,uy URU,DFMF,Belgrano,31-288,1994,10,10,726,8.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,54f5ce34
829,Rick,br BRA,MFFW,Talleres–C,27-013,1999,23,18,1517,16.9,4,2,6,4,0,0,5,0,0.24,0.12,0.36,0.24,0.36,Matches,ba6d9ff6
830,Alessandro Riep,ar ARG,DF,Ind. Rivadavia,23-074,2003,4,2,236,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,077375e1
831,César Rigamonti,ar ARG,GK,Gimnasia–M,39-161,1987,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,63288d13
832,Emiliano Rigoni,ar ARG,MF,Belgrano,33-223,1993,22,22,1716,19.1,2,2,4,2,0,0,1,1,0.10,0.10,0.21,0.10,0.21,Matches,a1216563
833,Martín Río,ar ARG,MF,CA San Lorenzo,25-185,2001,2,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b3a9431
834,Martín Río,ar ARG,MF,Talleres–C,25-185,2001,9,1,159,1.8,1,0,1,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57,Matches,5b3a9431
835,Gonzalo Ríos,ar ARG,MF,Ind. Rivadavia,27-231,1999,24,16,1250,13.9,3,3,6,3,0,0,2,0,0.22,0.22,0.43,0.22,0.43,Matches,777cdbf8
836,Lautaro Rios,ar ARG,MF,Newell's,19-358,2006,7,5,415,4.6,0,1,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matches,dd43772f
837,Lautaro Ríos,ar ARG,MF,Banfield,25-341,2000,5,2,301,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4b3cb59b
838,Leonardo Rios,ar ARG,DF,Rosario Central,19-310,2006,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b597b6d5
839,Román Riquelme,ar ARG,DF,Talleres–C,24-120,2002,5,5,421,4.7,0,0,0,0,0,0,3,2,0.00,0.00,0.00,0.00,0.00,Matches,f6561288
840,Román Riquelme,ar ARG,DF,Arg Juniors,24-120,2002,10,10,900,10.0,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,f6561288
841,Gabriel Risso Patrón,ar ARG,DF,Newell's,30-314,1995,4,3,285,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,663d938f
842,Marco Rivas,pe PER,MF,Tigre,18-123,2008,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f4baa35
843,Joaquín Rivero,ar ARG,FW,Estudiantes–RC,21-279,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8d8b1eb0
844,Lautaro Rivero,ar ARG,DF,River Plate,22-318,2003,17,15,1330,14.8,1,0,1,1,0,0,7,0,0.07,0.00,0.07,0.07,0.07,Matches,c1e3b5e9
845,Lucas Robertone,ar ARG,MF,Vélez Sarsfield,29-181,1997,23,15,1332,14.8,1,1,2,1,0,0,8,1,0.07,0.07,0.14,0.07,0.14,Matches,a8981944
846,Matías Rocha,uy URU,DF,Unión,25-214,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,62c5ba1b
847,Alan Rodríguez,uy URU,MFFW,Rosario Central,26-233,2000,4,4,299,3.3,1,0,1,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,Matches,fcd24b4b
848,Baltasar Rodríguez,ar ARG,MF,Racing Club,23-068,2003,13,7,588,6.5,0,1,1,0,0,0,6,0,0.00,0.15,0.15,0.00,0.15,Matches,3ae8029b
849,Baltasar Rodríguez,ar ARG,MF,Estudiantes–LP,23-068,2003,3,3,232,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ae8029b
850,Federico Rodriguez,,MF,C. Córdoba–SdE,,,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c4cdfe54
851,Fernando Rodríguez,ar ARG,MF,Estudiantes–RC,25-345,2000,6,5,427,4.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,74d5a794
852,Gregorio Rodríguez,ar ARG,MFFW,CA San Lorenzo,26-241,2000,13,6,564,6.3,2,1,3,2,0,0,0,0,0.32,0.16,0.48,0.32,0.48,Matches,de7ce7b1
853,Ignacio Rodríguez,ar ARG,DF,Racing Club,24-205,2002,9,7,654,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,6d550725
854,Lucas Rodríguez,ar ARG,DFMF,Aldosivi,32-353,1993,11,8,721,8.0,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches,ffaebee2
855,Maizon Rodríguez,uy URU,DF,Unión,23-116,2003,21,21,1820,20.2,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,60b81c1b
856,Máximo Rodríguez,ar ARG,DF,Defensa,21-222,2005,3,3,211,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e228878f
857,Santiago Rodriguez,ar ARG,FW,Gimnasia–M,29-023,1997,14,8,662,7.4,1,1,2,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,Matches,1ebb7c72
858,Teo Rodríguez,ar ARG,DFMF,CA San Lorenzo,20-338,2005,15,10,1028,11.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9855b2d2
859,Thomas Rodríguez,cl CHI,MF,Banfield,30-163,1996,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c969e4b4
860,Manuel Roffo,ar ARG,GK,Instituto,26-164,2000,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b50e5848
861,Gabriel Rojas,ar ARG,DFMF,Racing Club,29-085,1997,12,12,1080,12.0,1,3,4,1,0,0,2,0,0.08,0.25,0.33,0.08,0.33,Matches,79ad7358
862,Marcos Rojo,ar ARG,DF,Racing Club,36-179,1990,14,13,1089,12.1,1,1,2,0,1,1,5,1,0.08,0.08,0.17,0.00,0.08,Matches,e0991c04
863,Esteban Rolón,ar ARG,MF,Aldosivi,31-174,1995,14,11,836,9.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,10e25802
864,Esteban Rolón,ar ARG,MF,Barracas Central,31-174,1995,3,2,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,10e25802
865,Fernando Román,py PAR,DF,Aldosivi,27-299,1998,15,11,1030,11.4,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,398f2a56
866,Fernando Román,py PAR,DF,Defensa,27-299,1998,9,6,577,6.4,1,0,1,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16,Matches,398f2a56
867,Pocho Román,it ITA,FW,Atlé Tucumán,22-217,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,23a250d1
868,Jhohan Romaña,co COL,DF,CA San Lorenzo,28-002,1998,14,14,1215,13.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,4e32c2d6
869,Nicolás Romano,ar ARG,FW,Gimnasia–M,26-314,1999,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a9ca702
870,Ángel Romero,py PAR,MFFW,Boca Juniors,34-073,1992,10,5,464,5.2,2,0,2,2,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,36edfb9b
871,Braian Romero,ar ARG,FW,Vélez Sarsfield,35-092,1991,10,2,299,3.3,1,0,1,0,1,1,3,0,0.30,0.00,0.30,0.00,0.00,Matches,c5cc3130
872,Francisco Romero,ar ARG,MF,Estudiantes–RC,27-191,1999,15,13,1160,12.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,930772fc
873,José Romero,ar ARG,FW,Tigre,23-174,2003,12,10,793,8.8,7,2,9,7,0,0,1,0,0.79,0.23,1.02,0.79,1.02,Matches,e76ff509
874,Juan Romero,py PAR,FWMF,Instituto,25-133,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2c211e2d
875,Luciano Romero,ar ARG,DF,Lanús,20-255,2006,1,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4216c0a6
876,Óscar Romero,py PAR,MF,Huracán,34-073,1992,15,7,671,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4bc5f2b4
877,Siro Rosane,ar ARG,MF,Estudiantes–RC,26-100,2000,22,10,990,11.0,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,23f646f1
878,Nazareno Roselli,ar ARG,MF,Defensa,20-037,2006,3,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5eb5fd5d
879,Marco Ruben,ar ARG,FW,Rosario Central,39-324,1986,2,1,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,30795728
880,Agustín Ruberto,ar ARG,FW,River Plate,20-244,2006,4,2,169,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a61bbe15
881,Tobías Rubio,ar ARG,DF,Racing Club,22-050,2004,2,0,29,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3be76aa4
882,Matías Ruíz Díaz,ar ARG,DF,Estudiantes–RC,30-006,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,61141c17
883,Ramiro Ruiz,ar ARG,MFFW,Atlé Tucumán,26-178,2000,13,4,493,5.5,1,1,2,1,0,0,0,0,0.18,0.18,0.37,0.18,0.37,Matches,976c8f8f
884,Ignacio Russo,ar ARG,FW,Tigre,25-276,2000,25,23,2095,23.3,7,3,10,7,0,0,4,0,0.30,0.13,0.43,0.30,0.43,Matches,2ca3d7f2
885,Jerónimo Russo,ar ARG,DF,Newell's,21-108,2005,20,12,1189,13.2,1,2,3,1,0,0,5,1,0.08,0.15,0.23,0.08,0.23,Matches,5d6a92d3
886,Franco Saavedra,ar ARG,DF,Gimnasia–M,23-013,2003,13,13,1024,11.4,0,1,1,0,0,0,2,2,0.00,0.09,0.09,0.00,0.09,Matches,23db03e5
887,Luciano Sábato,ar ARG,FW,Ind. Rivadavia,18-112,2008,2,1,85,0.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,46f7709b
888,Juan Saborido,ar ARG,DF,Platense,28-143,1998,22,20,1778,19.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3dee8b4e
889,Enzo Salas,ar ARG,FW,CA San Lorenzo,19-328,2006,3,0,47,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ae36a840
890,Maximiliano Salas,ar ARG,FW,River Plate,28-288,1997,12,2,392,4.4,1,0,1,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches,c3c12758
891,Maximiliano Salas,ar ARG,FW,Ind. Rivadavia,28-288,1997,5,3,307,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c3c12758
892,Saúl Salcedo,py PAR,DF,Newell's,29-017,1997,14,14,1260,14.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,6d8fe94c
893,Santiago Salle,ar ARG,MFDF,Sarmiento–J,22-103,2004,24,19,1615,17.9,0,1,1,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,Matches,12357769
894,Oscar Salomón,ar ARG,DF,Newell's,27-177,1999,9,7,512,5.7,2,0,2,2,0,0,2,0,0.35,0.00,0.35,0.35,0.35,Matches,92c77992
895,Eduardo Salvio,ar ARG,MF,Lanús,36-064,1990,24,19,1620,18.0,1,5,6,1,0,0,0,0,0.06,0.28,0.33,0.06,0.33,Matches,5f424f35
896,Matías Salvo,ar ARG,DF,Ind. Rivadavia,21-308,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e46b4b97
897,Adrián Sánchez,ar ARG,MF,Belgrano,27-124,1999,22,22,1864,20.7,0,1,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05,Matches,bfb67716
